algorytm,reprezentacja,rozmiar,gestosc,powtorzenie,czas(ms),koszt
Dijkstra,List,400,0.25,23,2.404,2950
BellmanFord,Matrix,400,0.25,23,35.926,2413
BellmanFord,List,400,0.25,23,36.752,2950
Prim,Matrix,400,0.25,24,19.85,731
Prim,List,400,0.25,24,2.017,752
Kruskal,Matrix,400,0.25,24,1.36,731
Kruskal,List,400,0.25,24,2.042,752
Dijkstra,Matrix,400,0.25,24,35.054,4594
Dijkstra,List,400,0.25,24,2.478,4396
BellmanFord,Matrix,400,0.25,24,38.384,4594
BellmanFord,List,400,0.25,24,41.541,4396
Prim,Matrix,400,0.25,25,19.158,750
Prim,List,400,0.25,25,2.593,708
Kruskal,Matrix,400,0.25,25,1.348,750
Kruskal,List,400,0.25,25,2.075,708
Dijkstra,Matrix,400,0.25,25,31.082,5402
Dijkstra,List,400,0.25,25,2.176,5838
BellmanFord,Matrix,400,0.25,25,37.51,5402
BellmanFord,List,400,0.25,25,38.268,5838
Prim,Matrix,400,0.25,26,20.201,741
Prim,List,400,0.25,26,2.672,771
Kruskal,Matrix,400,0.25,26,1.363,741
Kruskal,List,400,0.25,26,2.476,771
Dijkstra,Matrix,400,0.25,26,31.509,5853
Dijkstra,List,400,0.25,26,2.684,3771
BellmanFord,Matrix,400,0.25,26,36.909,5853
BellmanFord,List,400,0.25,26,38.416,3771
Prim,Matrix,400,0.25,27,19.015,674
Prim,List,400,0.25,27,2.083,720
Kruskal,Matrix,400,0.25,27,1.479,674
Kruskal,List,400,0.25,27,2,720
Dijkstra,Matrix,400,0.25,27,34.102,2981
Dijkstra,List,400,0.25,27,1.871,4051
BellmanFord,Matrix,400,0.25,27,39.735,2981
BellmanFord,List,400,0.25,27,39.762,4051
Prim,Matrix,400,0.25,28,20.066,780
Prim,List,400,0.25,28,2.488,701
Kruskal,Matrix,400,0.25,28,1.401,780
Kruskal,List,400,0.25,28,1.979,701
Dijkstra,Matrix,400,0.25,28,31.024,3711
Dijkstra,List,400,0.25,28,2.106,4757
BellmanFord,Matrix,400,0.25,28,35.994,3711
BellmanFord,List,400,0.25,28,37.616,4757
Prim,Matrix,400,0.25,29,20.046,716
Prim,List,400,0.25,29,2.1,778
Kruskal,Matrix,400,0.25,29,1.39,716
Kruskal,List,400,0.25,29,2.461,778
Dijkstra,Matrix,400,0.25,29,32.071,9568
Dijkstra,List,400,0.25,29,2.259,6418
BellmanFord,Matrix,400,0.25,29,36.432,9568
BellmanFord,List,400,0.25,29,40.109,6418
Prim,Matrix,400,0.25,30,19.276,756
Prim,List,400,0.25,30,2.407,741
Kruskal,Matrix,400,0.25,30,1.302,756
Kruskal,List,400,0.25,30,2.285,741
Dijkstra,Matrix,400,0.25,30,31.393,5949
Dijkstra,List,400,0.25,30,2.296,6029
BellmanFord,Matrix,400,0.25,30,36.788,5949
BellmanFord,List,400,0.25,30,38.179,6029
Prim,Matrix,400,0.25,31,18.68,710
Prim,List,400,0.25,31,2.603,752
Kruskal,Matrix,400,0.25,31,1.252,710
Kruskal,List,400,0.25,31,1.895,752
Dijkstra,Matrix,400,0.25,31,32.084,11535
Dijkstra,List,400,0.25,31,1.892,9440
BellmanFord,Matrix,400,0.25,31,43.161,11535
BellmanFord,List,400,0.25,31,38.078,9440
Prim,Matrix,400,0.25,32,20.11,698
Prim,List,400,0.25,32,2.74,728
Kruskal,Matrix,400,0.25,32,1.342,698
Kruskal,List,400,0.25,32,2.046,728
Dijkstra,Matrix,400,0.25,32,33.01,6152
Dijkstra,List,400,0.25,32,2.286,4564
BellmanFord,Matrix,400,0.25,32,37.958,6152
BellmanFord,List,400,0.25,32,39.227,4564
Prim,Matrix,400,0.25,33,19.493,707
Prim,List,400,0.25,33,1.984,782
Kruskal,Matrix,400,0.25,33,1.263,707
Kruskal,List,400,0.25,33,2.147,782
Dijkstra,Matrix,400,0.25,33,31.927,3828
Dijkstra,List,400,0.25,33,2.095,2635
BellmanFord,Matrix,400,0.25,33,36.513,3828
BellmanFord,List,400,0.25,33,37.726,2635
Prim,Matrix,400,0.25,34,22.558,754
Prim,List,400,0.25,34,2.52,703
Kruskal,Matrix,400,0.25,34,1.253,754
Kruskal,List,400,0.25,34,2.345,703
Dijkstra,Matrix,400,0.25,34,31.86,12526
Dijkstra,List,400,0.25,34,2.405,5759
BellmanFord,Matrix,400,0.25,34,36.371,12526
BellmanFord,List,400,0.25,34,37.82,5759
Prim,Matrix,400,0.25,35,18.981,781
Prim,List,400,0.25,35,1.958,743
Kruskal,Matrix,400,0.25,35,1.254,781
Kruskal,List,400,0.25,35,1.892,743
Dijkstra,Matrix,400,0.25,35,30.943,19272
Dijkstra,List,400,0.25,35,2.099,16190
BellmanFord,Matrix,400,0.25,35,36.525,19272
BellmanFord,List,400,0.25,35,37.425,16190
Prim,Matrix,400,0.25,36,19.391,741
Prim,List,400,0.25,36,2.565,752
Kruskal,Matrix,400,0.25,36,1.298,741
Kruskal,List,400,0.25,36,1.917,752
Dijkstra,Matrix,400,0.25,36,31.696,5885
Dijkstra,List,400,0.25,36,2.225,4571
BellmanFord,Matrix,400,0.25,36,35.941,5885
BellmanFord,List,400,0.25,36,38.268,4571
Prim,Matrix,400,0.25,37,24.372,742
Prim,List,400,0.25,37,1.967,750
Kruskal,Matrix,400,0.25,37,1.688,742
Kruskal,List,400,0.25,37,2.742,750
Dijkstra,Matrix,400,0.25,37,33.492,19179
Dijkstra,List,400,0.25,37,2.37,13721
BellmanFord,Matrix,400,0.25,37,39.298,19179
BellmanFord,List,400,0.25,37,38.922,13721
Prim,Matrix,400,0.25,38,19.668,706
Prim,List,400,0.25,38,2.414,707
Kruskal,Matrix,400,0.25,38,1.361,706
Kruskal,List,400,0.25,38,2.1,707
Dijkstra,Matrix,400,0.25,38,32.164,4045
Dijkstra,List,400,0.25,38,2.335,6141
BellmanFord,Matrix,400,0.25,38,35.883,4045
BellmanFord,List,400,0.25,38,38.749,6141
Prim,Matrix,400,0.25,39,20.048,727
Prim,List,400,0.25,39,2.594,711
Kruskal,Matrix,400,0.25,39,1.421,727
Kruskal,List,400,0.25,39,2.467,711
Dijkstra,Matrix,400,0.25,39,32.301,8570
Dijkstra,List,400,0.25,39,1.968,6716
BellmanFord,Matrix,400,0.25,39,36.755,8570
BellmanFord,List,400,0.25,39,40.225,6716
Prim,Matrix,400,0.25,40,19.275,732
Prim,List,400,0.25,40,2.541,730
Kruskal,Matrix,400,0.25,40,1.278,732
Kruskal,List,400,0.25,40,1.852,730
Dijkstra,Matrix,400,0.25,40,32.055,9427
Dijkstra,List,400,0.25,40,2.378,7301
BellmanFord,Matrix,400,0.25,40,36.606,9427
BellmanFord,List,400,0.25,40,37.702,7301
Prim,Matrix,400,0.25,41,18.992,710
Prim,List,400,0.25,41,3.19,745
Kruskal,Matrix,400,0.25,41,1.314,710
Kruskal,List,400,0.25,41,2.103,745
Dijkstra,Matrix,400,0.25,41,31.449,6483
Dijkstra,List,400,0.25,41,2.286,3734
BellmanFord,Matrix,400,0.25,41,37.629,6483
BellmanFord,List,400,0.25,41,38.889,3734
Prim,Matrix,400,0.25,42,21.939,668
Prim,List,400,0.25,42,2.446,742
Kruskal,Matrix,400,0.25,42,1.348,668
Kruskal,List,400,0.25,42,2.161,742
Dijkstra,Matrix,400,0.25,42,33.221,5372
Dijkstra,List,400,0.25,42,2.46,2679
BellmanFord,Matrix,400,0.25,42,37.842,5372
BellmanFord,List,400,0.25,42,38.331,2679
Prim,Matrix,400,0.25,43,19.089,709
Prim,List,400,0.25,43,2.271,721
Kruskal,Matrix,400,0.25,43,1.248,709
Kruskal,List,400,0.25,43,1.917,721
Dijkstra,Matrix,400,0.25,43,32.279,8253
Dijkstra,List,400,0.25,43,2.323,5086
BellmanFord,Matrix,400,0.25,43,37.21,8253
BellmanFord,List,400,0.25,43,40.438,5086
Prim,Matrix,400,0.25,44,18.923,734
Prim,List,400,0.25,44,3.108,739
Kruskal,Matrix,400,0.25,44,1.3,734
Kruskal,List,400,0.25,44,2.273,739
Dijkstra,Matrix,400,0.25,44,31.293,2890
Dijkstra,List,400,0.25,44,2.251,4228
BellmanFord,Matrix,400,0.25,44,37.628,2890
BellmanFord,List,400,0.25,44,38.428,4228
Prim,Matrix,400,0.25,45,19.164,765
Prim,List,400,0.25,45,2.864,723
Kruskal,Matrix,400,0.25,45,1.333,765
Kruskal,List,400,0.25,45,1.919,723
Dijkstra,Matrix,400,0.25,45,31.114,5086
Dijkstra,List,400,0.25,45,1.962,4736
BellmanFord,Matrix,400,0.25,45,37.1,5086
BellmanFord,List,400,0.25,45,38.288,4736
Prim,Matrix,400,0.25,46,19.832,731
Prim,List,400,0.25,46,2.626,718
Kruskal,Matrix,400,0.25,46,1.373,731
Kruskal,List,400,0.25,46,1.895,718
Dijkstra,Matrix,400,0.25,46,31.38,2376
Dijkstra,List,400,0.25,46,2.591,3532
BellmanFord,Matrix,400,0.25,46,37.068,2376
